# Dimensionless graviational wave background energy density Omega_GW(f)
# f [Hz]                   Omega_GW(f)
2.544111431360741339e-03   1.000000000000000082e-05
2.577174330777252161e-03   1.000000000000000082e-05
2.610666910790431991e-03   1.000000000000000082e-05
2.644594755466366225e-03   1.000000000000000082e-05
2.678963521440835740e-03   1.000000000000000082e-05
2.713778938862440072e-03   1.000000000000000082e-05
2.749046812347943469e-03   1.000000000000000082e-05
2.784773021950059328e-03   1.000000000000000082e-05
2.820963524137811828e-03   1.000000000000000082e-05
2.857624352789613943e-03   1.000000000000000082e-05
2.894761620199288663e-03   1.000000000000000082e-05
2.932381518095126659e-03   1.000000000000000082e-05
2.970490318672210691e-03   1.000000000000000082e-05
3.009094375638161987e-03   1.000000000000000082e-05
3.048200125272442634e-03   1.000000000000000082e-05
3.087814087499472435e-03   1.000000000000000082e-05
3.127942866975643062e-03   1.000000000000000082e-05
3.168593154190493637e-03   1.000000000000000082e-05
3.209771726582195603e-03   1.000000000000000082e-05
3.251485449667499989e-03   1.000000000000000082e-05
3.293741278186420283e-03   1.000000000000000082e-05
3.336546257261743722e-03   1.000000000000000082e-05
3.379907523573639442e-03   1.000000000000000082e-05
3.423832306549537841e-03   1.000000000000000082e-05
3.468327929569435097e-03   1.000000000000000082e-05
3.513401811186913845e-03   1.000000000000000082e-05
3.559061466365983240e-03   1.000000000000000082e-05
3.605314507734022015e-03   1.000000000000000082e-05
3.652168646851010163e-03   1.000000000000000082e-05
3.699631695495217941e-03   1.000000000000000082e-05
3.747711566965654904e-03   1.000000000000000082e-05
3.796416277401393896e-03   1.000000000000000082e-05
3.845753947118077908e-03   1.000000000000000082e-05
3.895732801961792821e-03   1.000000000000000082e-05
3.946361174680499892e-03   1.000000000000000082e-05
3.997647506313347157e-03   1.000000000000000082e-05
4.049600347597979468e-03   1.000000000000000082e-05
4.102228360396174139e-03   1.000000000000000082e-05
4.155540319138010391e-03   1.000000000000000082e-05
4.209545112284754712e-03   1.000000000000000082e-05
4.264251743810832523e-03   1.000000000000000082e-05
4.319669334704989358e-03   1.000000000000000082e-05
4.375807124491008435e-03   1.000000000000000082e-05
4.432674472768165057e-03   1.000000000000000082e-05
4.490280860771724003e-03   1.000000000000000082e-05
4.548635892953695886e-03   1.000000000000000082e-05
4.607749298584132638e-03   1.000000000000000082e-05
4.667630933373258760e-03   1.000000000000000082e-05
4.728290781114660377e-03   1.000000000000000082e-05
4.789738955349851293e-03   1.000000000000000082e-05
4.851985701054450234e-03   1.000000000000000082e-05
4.915041396346267639e-03   1.000000000000000082e-05
4.978916554215616873e-03   1.000000000000000082e-05
5.043621824278088361e-03   1.000000000000000082e-05
5.109167994550126678e-03   1.000000000000000082e-05
5.175565993247659494e-03   1.000000000000000082e-05
5.242826890608092393e-03   1.000000000000000082e-05
5.310961900736025157e-03   1.000000000000000082e-05
5.379982383472908976e-03   1.000000000000000082e-05
5.449899846291040954e-03   1.000000000000000082e-05
5.520725946212144859e-03   1.000000000000000082e-05
5.592472491750877239e-03   1.000000000000000082e-05
5.665151444883627548e-03   1.000000000000000082e-05
5.738774923042873344e-03   1.000000000000000082e-05
5.813355201137477418e-03   1.000000000000000082e-05
5.888904713599222608e-03   1.000000000000000082e-05
5.965436056455933854e-03   1.000000000000000082e-05
6.042961989431572603e-03   1.000000000000000082e-05
6.121495438073597598e-03   1.000000000000000082e-05
6.201049495908001440e-03   1.000000000000000082e-05
6.281637426622322176e-03   1.000000000000000082e-05
6.363272666277025418e-03   1.000000000000000082e-05
6.445968825545655111e-03   1.000000000000000082e-05
6.529739691984068686e-03   1.000000000000000082e-05
6.614599232329193730e-03   1.000000000000000082e-05
6.700561594827622765e-03   1.000000000000000082e-05
6.787641111594475488e-03   1.000000000000000082e-05
6.875852301002948266e-03   1.000000000000000082e-05
6.965209870104877021e-03   1.000000000000000082e-05
7.055728717082807890e-03   1.000000000000000082e-05
7.147423933733880984e-03   1.000000000000000082e-05
7.240310807986008630e-03   1.000000000000000082e-05
7.334404826446780032e-03   1.000000000000000082e-05
7.429721676985460987e-03   1.000000000000000082e-05
7.526277251348583060e-03   1.000000000000000082e-05
7.624087647809486487e-03   1.000000000000000082e-05
7.723169173852299091e-03   1.000000000000000082e-05
7.823538348890830829e-03   1.000000000000000082e-05
7.925211907022763902e-03   1.000000000000000082e-05
8.028206799819687448e-03   1.000000000000000082e-05
8.132540199153296887e-03   1.000000000000000082e-05
8.238229500058454405e-03   1.000000000000000082e-05
8.345292323633317008e-03   1.000000000000000082e-05
8.453746519977250323e-03   1.000000000000000082e-05
8.563610171166927132e-03   1.000000000000000082e-05
8.674901594271000951e-03   1.000000000000000082e-05
8.787639344404100591e-03   1.000000000000000082e-05
8.901842217820381611e-03   1.000000000000000082e-05
9.017529255047364994e-03   1.000000000000000082e-05
9.134719744060500191e-03   1.000000000000000082e-05
9.253433223498908761e-03   1.000000000000000082e-05
9.373689485923037204e-03   1.000000000000000082e-05
9.495508581114520813e-03   1.000000000000000082e-05
9.618910819419020097e-03   1.000000000000000082e-05
9.743916775132499888e-03   1.000000000000000082e-05
9.870547289931421234e-03   1.000000000000000082e-05
9.998823476347661401e-03   1.000000000000000082e-05
1.012876672128842914e-02   1.000000000000000082e-05
1.026039868960206859e-02   1.000000000000000082e-05
1.039374132769012131e-02   1.000000000000000082e-05
1.052881686716632820e-02   1.000000000000000082e-05
1.066564782856324091e-02   1.000000000000000082e-05
1.080425702508695102e-02   1.000000000000000082e-05
1.094466756642063082e-02   1.000000000000000082e-05
1.108690286257751727e-02   1.000000000000000082e-05
1.123098662780392873e-02   1.000000000000000082e-05
1.137694288453307452e-02   1.000000000000000082e-05
1.152479596739017925e-02   1.000000000000000082e-05
1.167457052724970093e-02   1.000000000000000082e-05
1.182629153534522568e-02   1.000000000000000082e-05
1.197998428743285784e-02   1.000000000000000082e-05
1.213567440800863116e-02   1.000000000000000082e-05
1.229338785458077531e-02   1.000000000000000082e-05
1.245315092199750576e-02   1.000000000000000082e-05
1.261499024683100656e-02   1.000000000000000082e-05
1.277893281181847682e-02   1.000000000000000082e-05
1.294500595036080122e-02   1.000000000000000082e-05
1.311323735107974495e-02   1.000000000000000082e-05
1.328365506243434947e-02   1.000000000000000082e-05
1.345628749739729603e-02   1.000000000000000082e-05
1.363116343819212144e-02   1.000000000000000082e-05
1.380831204109191426e-02   1.000000000000000082e-05
1.398776284128041419e-02   1.000000000000000082e-05
1.416954575777629351e-02   1.000000000000000082e-05
1.435369109842138217e-02   1.000000000000000082e-05
1.454022956493380286e-02   1.000000000000000082e-05
1.472919225802670450e-02   1.000000000000000082e-05
1.492061068259354674e-02   1.000000000000000082e-05
1.511451675296077504e-02   1.000000000000000082e-05
1.531094279820872407e-02   1.000000000000000082e-05
1.550992156756174009e-02   1.000000000000000082e-05
1.571148623584828902e-02   1.000000000000000082e-05
1.591567040903204069e-02   1.000000000000000082e-05
1.612250812981485745e-02   1.000000000000000082e-05
1.633203388331253697e-02   1.000000000000000082e-05
1.654428260280442486e-02   1.000000000000000082e-05
1.675928967555762386e-02   1.000000000000000082e-05
1.697709094872699997e-02   1.000000000000000082e-05
1.719772273533175244e-02   1.000000000000000082e-05
1.742122182030978947e-02   1.000000000000000082e-05
1.764762546665067308e-02   1.000000000000000082e-05
1.787697142160832309e-02   1.000000000000000082e-05
1.810929792299444466e-02   1.000000000000000082e-05
1.834464370555370996e-02   1.000000000000000082e-05
1.858304800742189428e-02   1.000000000000000082e-05
1.882455057666782353e-02   1.000000000000000082e-05
1.906919167792039960e-02   1.000000000000000082e-05
1.931701209908175815e-02   1.000000000000000082e-05
1.956805315812759974e-02   1.000000000000000082e-05
1.982235670999601962e-02   1.000000000000000082e-05
2.007996515356573822e-02   1.000000000000000082e-05
2.034092143872509584e-02   1.000000000000000082e-05
2.060526907353290443e-02   1.000000000000000082e-05
2.087305213147229097e-02   1.000000000000000082e-05
2.114431525879895135e-02   1.000000000000000082e-05
2.141910368198477257e-02   1.000000000000000082e-05
2.169746321525823154e-02   1.000000000000000082e-05
2.197944026824282665e-02   1.000000000000000082e-05
2.226508185369469039e-02   1.000000000000000082e-05
2.255443559534087150e-02   1.000000000000000082e-05
2.284754973581939672e-02   1.000000000000000082e-05
2.314447314472254519e-02   1.000000000000000082e-05
2.344525532674466076e-02   1.000000000000000082e-05
2.374994642993582053e-02   1.000000000000000082e-05
2.405859725406283428e-02   1.000000000000000082e-05
2.437125925907884100e-02   1.000000000000000082e-05
2.468798457370299099e-02   1.000000000000000082e-05
2.500882600411160131e-02   1.000000000000000082e-05
2.533383704274235620e-02   1.000000000000000082e-05
2.566307187721280497e-02   1.000000000000000082e-05
2.599658539935484000e-02   1.000000000000000082e-05
2.633443321436657394e-02   1.000000000000000082e-05
2.667667165008308361e-02   1.000000000000000082e-05
2.702335776636777612e-02   1.000000000000000082e-05
2.737454936462567143e-02   1.000000000000000082e-05
2.773030499744038799e-02   1.000000000000000082e-05
2.809068397833634420e-02   1.000000000000000082e-05
2.845574639166779593e-02   1.000000000000000082e-05
2.882555310263650722e-02   1.000000000000000082e-05
2.920016576743946629e-02   1.000000000000000082e-05
2.957964684354857238e-02   1.000000000000000082e-05
2.996405960012388930e-02   1.000000000000000082e-05
3.035346812856216936e-02   1.000000000000000082e-05
3.074793735318261112e-02   1.000000000000000082e-05
3.114753304205134313e-02   1.000000000000000082e-05
3.155232181794664220e-02   1.000000000000000082e-05
3.196237116946665929e-02   1.000000000000000082e-05
3.237774946228145351e-02   1.000000000000000082e-05
3.279852595053133618e-02   1.000000000000000082e-05
3.322477078837327708e-02   1.000000000000000082e-05
3.365655504167739537e-02   1.000000000000000082e-05
3.409395069987545407e-02   1.000000000000000082e-05
3.453703068796327297e-02   1.000000000000000082e-05
3.498586887865930140e-02   1.000000000000000082e-05
3.544054010472096755e-02   1.000000000000000082e-05
3.590112017142130241e-02   1.000000000000000082e-05
3.636768586918747576e-02   1.000000000000000082e-05
3.684031498640386731e-02   1.000000000000000082e-05
3.731908632238128271e-02   1.000000000000000082e-05
3.780407970049481925e-02   1.000000000000000082e-05
3.829537598149249794e-02   1.000000000000000082e-05
3.879305707697670164e-02   1.000000000000000082e-05
3.929720596306105623e-02   1.000000000000000082e-05
3.980790669420458672e-02   1.000000000000000082e-05
4.032524441722575015e-02   1.000000000000000082e-05
4.084930538549860768e-02   1.000000000000000082e-05
4.138017697333335604e-02   1.000000000000000082e-05
4.191794769054400793e-02   1.000000000000000082e-05
4.246270719720511566e-02   1.000000000000000082e-05
4.301454631860042455e-02   1.000000000000000082e-05
4.357355706036579457e-02   1.000000000000000082e-05
4.413983262382877720e-02   1.000000000000000082e-05
4.471346742154777565e-02   1.000000000000000082e-05
4.529455709305296035e-02   1.000000000000000082e-05
4.588319852079182637e-02   1.000000000000000082e-05
4.647948984628197389e-02   1.000000000000000082e-05
4.708353048647372086e-02   1.000000000000000082e-05
4.769542115032558705e-02   1.000000000000000082e-05
4.831526385559491849e-02   1.000000000000000082e-05
4.894316194584689972e-02   1.000000000000000082e-05
4.957922010768457677e-02   1.000000000000000082e-05
5.022354438820263861e-02   1.000000000000000082e-05
5.087624221266846825e-02   1.000000000000000082e-05
5.153742240243232992e-02   1.000000000000000082e-05
5.220719519307079337e-02   1.000000000000000082e-05
5.288567225276601808e-02   1.000000000000000082e-05
5.357296670092326352e-02   1.000000000000000082e-05
5.426919312703122611e-02   1.000000000000000082e-05
5.497446760976665292e-02   1.000000000000000082e-05
5.568890773634775637e-02   1.000000000000000082e-05
5.641263262213917773e-02   1.000000000000000082e-05
5.714576293051117084e-02   1.000000000000000082e-05
5.788842089295768989e-02   1.000000000000000082e-05
5.864073032947509506e-02   1.000000000000000082e-05
5.940281666920629866e-02   1.000000000000000082e-05
6.017480697135313417e-02   1.000000000000000082e-05
6.095682994636003604e-02   1.000000000000000082e-05
6.174901597737351977e-02   1.000000000000000082e-05
6.255149714198053601e-02   1.000000000000000082e-05
6.336440723422880061e-02   1.000000000000000082e-05
6.418788178693406177e-02   1.000000000000000082e-05
6.502205809427653860e-02   1.000000000000000082e-05
6.586707523469147174e-02   1.000000000000000082e-05
6.672307409405729695e-02   1.000000000000000082e-05
6.759019738918439768e-02   1.000000000000000082e-05
6.846858969161016828e-02   1.000000000000000082e-05
6.935839745170237214e-02   1.000000000000000082e-05
7.025976902307622118e-02   1.000000000000000082e-05
7.117285468732906240e-02   1.000000000000000082e-05
7.209780667909550245e-02   1.000000000000000082e-05
7.303477921142952078e-02   1.000000000000000082e-05
7.398392850151505606e-02   1.000000000000000082e-05
7.494541279671174117e-02   1.000000000000000082e-05
7.591939240093892316e-02   1.000000000000000082e-05
7.690602970140185402e-02   1.000000000000000082e-05
7.790548919566646358e-02   1.000000000000000082e-05
7.891793751908471322e-02   1.000000000000000082e-05
7.994354347257716376e-02   1.000000000000000082e-05
8.098247805077665729e-02   1.000000000000000082e-05
8.203491447053690155e-02   1.000000000000000082e-05
8.310102819981278477e-02   1.000000000000000082e-05
8.418099698691480781e-02   1.000000000000000082e-05
8.527500089014442008e-02   1.000000000000000082e-05
8.638322230781467215e-02   1.000000000000000082e-05
8.750584600866001539e-02   1.000000000000000082e-05
8.864305916264264562e-02   1.000000000000000082e-05
8.979505137215788857e-02   1.000000000000000082e-05
9.096201470364605191e-02   1.000000000000000082e-05
9.214414371961499040e-02   1.000000000000000082e-05
9.334163551107808876e-02   1.000000000000000082e-05
9.455468973041497582e-02   1.000000000000000082e-05
9.578350862465814797e-02   1.000000000000000082e-05
9.702829706921281550e-02   1.000000000000000082e-05
9.828926260201531484e-02   1.000000000000000082e-05
9.956661545813413894e-02   1.000000000000000082e-05
1.008605686048223427e-01   1.000000000000000082e-05
1.021713377770239323e-01   1.000000000000000082e-05
1.034991415133426074e-01   1.000000000000000082e-05
1.048442011924780315e-01   1.000000000000000082e-05
1.062067410701346415e-01   1.000000000000000082e-05
1.075869883164115443e-01   1.000000000000000082e-05
1.089851730536768731e-01   1.000000000000000082e-05
1.104015283949353193e-01   1.000000000000000082e-05
1.118362904826943616e-01   1.000000000000000082e-05
1.132896985283344815e-01   1.000000000000000082e-05
1.147619948519926492e-01   1.000000000000000082e-05
1.162534249229625061e-01   1.000000000000000082e-05
1.177642374006206277e-01   1.000000000000000082e-05
1.192946841758848187e-01   1.000000000000000082e-05
1.208450204132098388e-01   1.000000000000000082e-05
1.224155045931308167e-01   1.000000000000000082e-05
1.240063985553576525e-01   1.000000000000000082e-05
1.256179675424307918e-01   1.000000000000000082e-05
1.272504802439441973e-01   1.000000000000000082e-05
1.289042088413421272e-01   1.000000000000000082e-05
1.305794290532989177e-01   1.000000000000000082e-05
1.322764201816888641e-01   1.000000000000000082e-05
1.339954651581519440e-01   1.000000000000000082e-05
1.357368505912667778e-01   1.000000000000000082e-05
1.375008668143347379e-01   1.000000000000000082e-05
1.392878079337862007e-01   1.000000000000000082e-05
1.410979718782160441e-01   1.000000000000000082e-05
1.429316604480549702e-01   1.000000000000000082e-05
1.447891793658884207e-01   1.000000000000000082e-05
1.466708383274273331e-01   1.000000000000000082e-05
1.485769510531426973e-01   1.000000000000000082e-05
1.505078353405712721e-01   1.000000000000000082e-05
1.524638131172994515e-01   1.000000000000000082e-05
1.544452104946378856e-01   1.000000000000000082e-05
1.564523578219917388e-01   1.000000000000000082e-05
1.584855897419384652e-01   1.000000000000000082e-05
1.605452452460220392e-01   1.000000000000000082e-05
1.626316677312701631e-01   1.000000000000000082e-05
1.647452050574486904e-01   1.000000000000000082e-05
1.668862096050574839e-01   1.000000000000000082e-05
1.690550383340817808e-01   1.000000000000000082e-05
1.712520528435070022e-01   1.000000000000000082e-05
1.734776194316053066e-01   1.000000000000000082e-05
1.757321091570082094e-01   1.000000000000000082e-05
1.780158979005703745e-01   1.000000000000000082e-05
1.803293664280388731e-01   1.000000000000000082e-05
1.826729004535372902e-01   1.000000000000000082e-05
1.850468907038726185e-01   1.000000000000000082e-05
1.874517329836810353e-01   1.000000000000000082e-05
1.898878282414171170e-01   1.000000000000000082e-05
1.923555826362028653e-01   1.000000000000000082e-05
1.948554076055453166e-01   1.000000000000000082e-05
1.973877199339321986e-01   1.000000000000000082e-05
1.999529418223222887e-01   1.000000000000000082e-05
2.025515009585354687e-01   1.000000000000000082e-05
2.051838305885599345e-01   1.000000000000000082e-05
2.078503695887858049e-01   1.000000000000000082e-05
2.105515625391757295e-01   1.000000000000000082e-05
2.132878597973892065e-01   1.000000000000000082e-05
2.160597175738672437e-01   1.000000000000000082e-05
2.188675980078949035e-01   1.000000000000000082e-05
2.217119692446523627e-01   1.000000000000000082e-05
2.245933055132650624e-01   1.000000000000000082e-05
2.275120872058715993e-01   1.000000000000000082e-05
2.304688009577157137e-01   1.000000000000000082e-05
2.334639397282814999e-01   1.000000000000000082e-05
2.364980028834829662e-01   1.000000000000000082e-05
2.395714962789194380e-01   1.000000000000000082e-05
2.426849323442164252e-01   1.000000000000000082e-05
2.458388301684590882e-01   1.000000000000000082e-05
2.490337155867382579e-01   1.000000000000000082e-05
2.522701212678213345e-01   1.000000000000000082e-05
2.555485868029599428e-01   1.000000000000000082e-05
2.588696587958555506e-01   1.000000000000000082e-05
2.622338909537905161e-01   1.000000000000000082e-05
2.656418441799459629e-01   1.000000000000000082e-05
2.690940866669192522e-01   1.000000000000000082e-05
2.725911939914547610e-01   1.000000000000000082e-05
2.761337492104078972e-01   1.000000000000000082e-05
2.797223429579563381e-01   1.000000000000000082e-05
2.833575735440719279e-01   1.000000000000000082e-05
2.870400470542763260e-01   1.000000000000000082e-05
2.907703774506890659e-01   1.000000000000000082e-05
2.945491866743912834e-01   1.000000000000000082e-05
2.983771047491202699e-01   1.000000000000000082e-05
3.022547698863083387e-01   1.000000000000000082e-05
3.061828285914910963e-01   1.000000000000000082e-05
3.101619357720947212e-01   1.000000000000000082e-05
3.141927548466260656e-01   1.000000000000000082e-05
3.182759578552828983e-01   1.000000000000000082e-05
3.224122255719975016e-01   1.000000000000000082e-05
3.266022476179417655e-01   1.000000000000000082e-05
3.308467225765023279e-01   1.000000000000000082e-05
3.351463581097531841e-01   1.000000000000000082e-05
3.395018710764418635e-01   1.000000000000000082e-05
3.439139876515059369e-01   1.000000000000000082e-05
3.483834434471473340e-01   1.000000000000000082e-05
3.529109836354754615e-01   1.000000000000000082e-05
3.574973630727470986e-01   1.000000000000000082e-05
3.621433464252216128e-01   1.000000000000000082e-05
3.668497082966474254e-01   1.000000000000000082e-05
3.716172333574113695e-01   1.000000000000000082e-05
3.764467164753604878e-01   1.000000000000000082e-05
3.813389628483279115e-01   1.000000000000000082e-05
3.862947881383810289e-01   1.000000000000000082e-05
3.913150186078103721e-01   1.000000000000000082e-05
3.964004912568916406e-01   1.000000000000000082e-05
4.015520539634324093e-01   1.000000000000000082e-05
4.067705656241359380e-01   1.000000000000000082e-05
4.120568962978024552e-01   1.000000000000000082e-05
4.174119273503872907e-01   1.000000000000000082e-05
4.228365516019501058e-01   1.000000000000000082e-05
4.283316734755082122e-01   1.000000000000000082e-05
4.338982091478276737e-01   1.000000000000000082e-05
4.395370867021750616e-01   1.000000000000000082e-05
4.452492462830493491e-01   1.000000000000000082e-05
4.510356402529313580e-01   1.000000000000000082e-05
4.568972333510639139e-01   1.000000000000000082e-05
4.628350028542995709e-01   1.000000000000000082e-05
4.688499387400392182e-01   1.000000000000000082e-05
4.749430438512829977e-01   1.000000000000000082e-05
4.811153340638337772e-01   1.000000000000000082e-05
4.873678384556659471e-01   1.000000000000000082e-05
4.937015994785005635e-01   1.000000000000000082e-05
5.001176731316099300e-01   1.000000000000000082e-05
5.066171291378763764e-01   1.000000000000000082e-05
5.132010511221457572e-01   1.000000000000000082e-05
5.198705367918923237e-01   1.000000000000000082e-05
5.266266981202359920e-01   1.000000000000000082e-05
5.334706615313377087e-01   1.000000000000000082e-05
5.404035680882003367e-01   1.000000000000000082e-05
5.474265736829143636e-01   1.000000000000000082e-05
5.545408492293759650e-01   1.000000000000000082e-05
5.617475808585048469e-01   1.000000000000000082e-05
5.690479701160064963e-01   1.000000000000000082e-05
5.764432341626964940e-01   1.000000000000000082e-05
5.839346059774341846e-01   1.000000000000000082e-05
5.915233345626933481e-01   1.000000000000000082e-05
5.992106851527982947e-01   1.000000000000000082e-05
6.069979394248758986e-01   1.000000000000000082e-05
6.148863957125393354e-01   1.000000000000000082e-05
6.228773692223549263e-01   1.000000000000000082e-05
6.309721922531231764e-01   1.000000000000000082e-05
6.391722144180015386e-01   1.000000000000000082e-05
6.474788028695253050e-01   1.000000000000000082e-05
6.558933425275418339e-01   1.000000000000000082e-05
6.644172363101135126e-01   1.000000000000000082e-05
6.730519053674227647e-01   1.000000000000000082e-05
6.817987893187086312e-01   1.000000000000000082e-05
6.906593464922936576e-01   1.000000000000000082e-05
6.996350541687197389e-01   1.000000000000000082e-05
7.087274088270497652e-01   1.000000000000000082e-05
7.179379263943718170e-01   1.000000000000000082e-05
7.272681424985373289e-01   1.000000000000000082e-05
7.367196127241951720e-01   1.000000000000000082e-05
7.462939128721421955e-01   1.000000000000000082e-05
7.559926392220515101e-01   1.000000000000000082e-05
7.658174087986152623e-01   1.000000000000000082e-05
7.757698596411386482e-01   1.000000000000000082e-05
7.858516510766485608e-01   1.000000000000000082e-05
7.960644639965406277e-01   1.000000000000000082e-05
8.064100011368287024e-01   1.000000000000000082e-05
8.168899873620368846e-01   1.000000000000000082e-05
8.275061699527725967e-01   1.000000000000000082e-05
8.382603188970493280e-01   1.000000000000000082e-05
8.491542271853831370e-01   1.000000000000000082e-05
8.601897111097317472e-01   1.000000000000000082e-05
8.713686105663199788e-01   1.000000000000000082e-05
